cl-rfile,
Iteration,cl
"(""Iteration""",cl)
1,2.853433111
2,4.276835326
3,5.417960068
4,6.170361798
5,6.649561416
6,6.918049168
7,6.986716871
8,6.717080784
9,6.401378418
10,6.004876525
11,5.70723537
12,5.375387449
13,5.091045241
14,4.869912886
15,4.698410917
16,4.546307257
17,4.387498145
18,4.217583623
19,4.036457148
20,3.844211787
21,3.6437944
22,3.439248944
23,3.233599269
24,3.030368187
25,2.830854143
26,2.635249749
27,2.443657201
28,2.256416501
29,2.073781588
30,1.896102419
31,1.723529223
32,1.556456232
33,1.394896998
34,1.238906184
35,1.089229927
36,0.946150393
37,0.809911281
38,0.68071306
39,0.558693262
40,0.44391284
41,0.336394045
42,0.236129996
43,0.142924969
44,0.056623389
45,-0.023043023
46,-0.096534935
47,-0.164230102
48,-0.226508816
49,-0.283830858
50,-0.33662561
51,-0.38526033
52,-0.430131912
53,-0.471374446
54,-0.510589919
55,-0.545717178
56,-0.579467921
57,-0.610402841
58,-0.638617873
59,-0.664044936
60,-0.686635794
61,-0.706311592
62,-0.722991092
63,-0.736539164
64,-0.746817063
65,-0.753838391
66,-0.757378897
67,-0.757350725
68,-0.753360106
69,-0.745537866
70,-0.733799704
71,-0.71806538
72,-0.698181595
73,-0.674103721
74,-0.645827058
75,-0.613391551
76,-0.576877869
77,-0.536438229
78,-0.492041396
79,-0.443836799
80,-0.391997158
81,-0.33671997
82,-0.278225485
83,-0.21681013
84,-0.152719414
85,-0.086281144
86,-0.017852068
87,0.052274758
88,0.123479184
89,0.195646631
90,0.268433546
91,0.34144603
92,0.414253173
93,0.486512989
94,0.557891254
95,0.627990443
96,0.696489364
97,0.763058949
98,0.827286042
99,0.889052919
100,0.948099361
101,1.004219611
102,1.057202072
103,1.106888457
104,1.153134468
105,1.195835665
106,1.234912233
107,1.270328773
108,1.302009259
109,1.330015458
110,1.354361064
111,1.375058468
112,1.392210871
113,1.405893934
114,1.41620731
115,1.423244585
116,1.427115766
117,1.427956344
118,1.425851879
119,1.42093708
120,1.413345167
121,1.403219083
122,1.390699412
123,1.375916431
124,1.359024078
125,1.340148211
126,1.319435071
127,1.297020662
128,1.273041382
129,1.247624917
130,1.220894822
131,1.192987336
132,1.164031855
133,1.134155017
134,1.103484839
135,1.072282927
136,1.040511058
137,1.008285545
138,0.975745216
139,0.942996503
140,0.910159122
141,0.877337119
142,0.84464248
143,0.8121883
144,0.78007398
145,0.748404678
146,0.717276326
147,0.686790234
148,0.657028809
149,0.628079432
150,0.600004523
151,0.5728805
152,0.546825368
153,0.521876428
154,0.498088766
155,0.475512285
156,0.454197003
157,0.434173487
158,0.415484526
159,0.398153283
160,0.382208352
161,0.367666112
162,0.354544125
163,0.342846008
164,0.332582585
165,0.323746807
166,0.316340897
167,0.310354212
168,0.305784725
169,0.302617321
170,0.300838478
171,0.300411998
172,0.301336034
173,0.303587697
174,0.307150914
175,0.312007717
176,0.318129466
177,0.325490192
178,0.334059748
179,0.343817751
180,0.35473138
181,0.36677086
182,0.37989778
183,0.394080112
184,0.40928861
185,0.425479878
186,0.442630446
187,0.460670965
188,0.479580472
189,0.499320669
190,0.519821123
191,0.54103033
192,0.562884644
193,0.585338633
194,0.608302269
195,0.631744088
196,0.655601616
197,0.679821716
198,0.70431357
199,0.729008244
200,0.753832052
201,0.778704268
202,0.803545155
203,0.828274101
204,0.852810551
205,0.877062203
206,0.900973603
207,0.924457003
208,0.94743325
209,0.969820635
210,0.99154184
211,1.012517541
212,1.032674315
213,1.051943573
214,1.070258659
215,1.087551882
216,1.103776428
217,1.118865703
218,1.132769014
219,1.145438308
220,1.156830873
221,1.166920373
222,1.175669489
223,1.183077816
224,1.189111927
225,1.19375233
226,1.196999443
227,1.1988498
228,1.199310446
229,1.198394596
230,1.196122206
231,1.192519431
232,1.187623642
233,1.181463564
234,1.174084201
235,1.165532002
236,1.155856016
237,1.145113343
238,1.133362844
239,1.120678537
240,1.107098904
241,1.092709133
242,1.07758215
243,1.061795094
244,1.04541373
245,1.028524761
246,1.011209294
247,0.99354701
248,0.975617772
249,0.957494948
250,0.939265765
251,0.921010328
252,0.902794369
253,0.884731059
254,0.866877255
255,0.849299697
256,0.832068396
257,0.815255865
258,0.798926936
259,0.783144191
260,0.767960452
261,0.753435525
262,0.739620886
263,0.726567201
264,0.714315276
265,0.702906412
266,0.692370258
267,0.682739617
268,0.674041179
269,0.666295656
270,0.659524688
271,0.65374078
272,0.648951903
273,0.645161819
274,0.642367392
275,0.640571057
276,0.639759185
277,0.639922934
278,0.641046126
279,0.643110615
280,0.64609388
281,0.649970531
282,0.654715605
283,0.66029677
284,0.666678421
285,0.67382893
286,0.681710792
287,0.690283421
288,0.699501366
289,0.709329012
290,0.71972367
291,0.730639596
292,0.742031442
293,0.753869942
294,0.766089344
295,0.778649608
296,0.791498698
297,0.804594047
298,0.817888619
299,0.831333472
300,0.844882751
301,0.858494559
302,0.872125629
303,0.885730143
304,0.89926527
305,0.912689804
306,0.925962203
307,0.939047299
308,0.951907977
309,0.964504407
310,0.976804895
311,0.988773536
312,1.000379819
313,1.011592429
314,1.022385784
315,1.032731239
316,1.042608271
317,1.051990062
318,1.06085587
319,1.069187394
320,1.076971806
321,1.084192302
322,1.090830459
323,1.096884487
324,1.102343868
325,1.107202223
326,1.111453285
327,1.115095443
328,1.118128227
329,1.120553239
330,1.122375859
331,1.123600622
332,1.12423758
333,1.124292583
334,1.12378374
335,1.12272184
336,1.1211243
337,1.119007145
338,1.1163825
339,1.11327284
340,1.109700964
341,1.105687976
342,1.101256349
343,1.096435566
344,1.091248267
345,1.085726849
346,1.079895271
347,1.073780714
348,1.067412092
349,1.06081839
350,1.05402863
351,1.04707621
352,1.039985389
353,1.032789929
354,1.025521086
355,1.018207206
356,1.010877746
357,1.003561089
358,0.996288165
359,0.989086522
360,0.9819794
361,0.974991777
362,0.96815301
363,0.961485204
364,0.955011714
365,0.948748107
366,0.942725788
367,0.936963497
368,0.931477138
369,0.926288592
370,0.921416405
371,0.916867034
372,0.912654346
373,0.908790193
374,0.90528474
375,0.902144609
376,0.899379872
377,0.896994418
378,0.89499831
379,0.893396136
380,0.892184855
381,0.891359781
382,0.89092746
383,0.890884808
384,0.891229565
385,0.891955655
386,0.893058432
387,0.894528894
388,0.896360047
389,0.89854381
390,0.90107241
391,0.903934742
392,0.907116418
393,0.910606943
394,0.914395408
395,0.918462699
396,0.922795659
397,0.927380995
398,0.932202276
399,0.93724001
400,0.942479812
401,0.947906345
402,0.95350433
403,0.959253725
404,0.965135908
405,0.971136879
406,0.977233617
407,0.983411164
408,0.989653224
409,0.995941526
410,1.002257451
411,1.008586395
412,1.014908445
413,1.02120902
414,1.027471484
415,1.033678218
416,1.03981333
417,1.045864581
418,1.051812937
419,1.057644533
420,1.063344585
421,1.068900288
422,1.074294844
423,1.079518226
424,1.084559545
425,1.089404778
426,1.094048119
427,1.098479501
428,1.102686335
429,1.106661304
430,1.110397017
431,1.113886165
432,1.117122264
433,1.120096656
434,1.122808641
435,1.125252527
436,1.127422719
437,1.129320543
438,1.130941769
439,1.132287379
440,1.133354369
441,1.134145729
442,1.134663617
443,1.134906887
444,1.134882046
445,1.134591579
446,1.134040329
447,1.133234333
448,1.132180498
449,1.130881354
450,1.129349055
451,1.127588961
452,1.125611916
453,1.123431458
454,1.121058516
455,1.118503695
456,1.115779623
457,1.112896526
458,1.109863943
459,1.106696517
460,1.10341247
461,1.100024086
462,1.096547493
463,1.092996109
464,1.089383543
465,1.085725223
466,1.082038841
467,1.078339402
468,1.074645034
469,1.070969119
470,1.067325153
471,1.063730141
472,1.060199378
473,1.05675041
474,1.053393913
475,1.050142781
476,1.047012143
477,1.044014388
478,1.041162661
479,1.038468798
480,1.03594398
481,1.033597571
482,1.031441203
483,1.029483649
484,1.027733212
485,1.026193877
486,1.024873623
487,1.023776539
488,1.02290748
489,1.022270292
490,1.021866691
491,1.021697762
492,1.021765205
493,1.022069378
494,1.0226099
495,1.023382927
496,1.024383537
497,1.025605989
498,1.02704767
499,1.028700787
500,1.030559581
501,1.032618511
502,1.034867033
503,1.03729564
504,1.039892693
505,1.042649592
506,1.04555386
507,1.048595773
508,1.051765333
509,1.055048095
510,1.058434283
511,1.061909386
512,1.065463987
513,1.069082945
514,1.072753683
515,1.076461608
516,1.080194005
517,1.083941423
518,1.087690116
519,1.091430919
520,1.09514887
521,1.098830528
522,1.102467566
523,1.106048769
524,1.109564743
525,1.113004437
526,1.116358348
527,1.119616446
528,1.122772098
529,1.125816838
530,1.128744282
531,1.131548659
532,1.134225532
533,1.136770669
534,1.13918102
535,1.141452509
536,1.143580427
